knowledge_base_name,knowledge_id,title,file_name,description,summary_status,updated_at
23-眼科手术与操作技术,dc002b7e-01cd-4cf9-821b-14ce0f550aea,眼科手术操作与技巧-魏文斌 2011_weknora.mhtml,眼科手术操作与技巧-魏文斌 2011_weknora.mhtml,"本书是首都医科大学附属北京同仁医院眼科临床专家编写的一部眼科手术专著，由魏文斌、施玉英主编，人民卫生出版社于2011年出版。全书九篇59章，约60万字，含约500幅插图，涵盖外眼小手术、白内障手术、青光眼手术、角膜手术、玻璃体视网膜手术、眼外伤手术、斜视及眼部整形手术等。该书以临床实用为中心，重手术技术与技巧、术者经验体会，以及适应证选择、术前术后注意事项和并发症防治，既可作为年轻医师的手术教材，也可供有经验医师参考。

在显微手术基础方面，书中详细介绍了准备性操作技术：眼部无菌技术包括术前抗生素应用、泪道冲洗、术眼备皮；手术野消毒范围与螺旋式消毒方法；包头巾和眼单的铺巾方法。眼球暴露技术包括开睑器开睑、金属钩开睑、单线与双线缝线开睑、外眦切开术，以及眼球固定技术（角膜缘牵引缝线、眼外肌牵引缝线、浅层巩膜固定缝线、角膜固定缝线）。软化眼球技术包括20%甘露醇药物降眼压及机械压迫降眼压。眼组织基本操作技术涉及组织的镊持（有齿镊与无齿镊的选择）、切开（刀片垂直、一次性切透）、六种缝合方式（间断、连续、褥式、8字、减张、深层错位缝合）及缝合技巧，并介绍了器械打结（方结、3~4个结扣）、剪线、埋藏线结及血管钳夹、压迫、烧灼等止血方法。

麻醉部分介绍局部麻醉的八项要求、表面麻醉滴药方法、浸润麻醉（皮下、结膜下、筋膜囊下、直肌鞘注射）及睫状神经节阻滞的注射方法与并发症处理。此外，书中还涉及玻璃体视网膜术后处理（按裂孔位置决定头位、饮食全身处理、药物应用、术后眼部检查），甲状腺相关性眼病限制性斜视手术量的掌握、眼睑处理及并发症防治，以及斜视手术并发症（做错肌肉、眼球穿通、出血、肌肉滑脱、前节缺血、结膜植入性囊肿、复视、术后感染、下斜肌粘连综合征、远期再次手术）的原因、预防和处理。",completed,2026-08-06 21:33:01.379764+00
16-检查：CT 与 MRI,e49e1be1-73f1-4242-a526-ebafc42c46b9,Imaging Atlas of Ophthalmic Tumors and Diseases-J. Matthew Debnam 2023_weknora.mhtml,Imaging Atlas of Ophthalmic Tumors and Diseases-J. Matthew Debnam 2023_weknora.mhtml,"《眼科肿瘤与疾病影像图谱》旨在为放射科住院医师、专科医师、综合放射科医师、神经放射科医师及相关外科和肿瘤科医生提供眼科肿瘤与疾病的影像学参考。内容涵盖皮肤和眶周区、眼球、泪腺、眼眶、颅底、鼻旁窦、垂体、海绵窦、视路及颅神经等复杂解剖部位，涉及肿瘤性、血管性和感染性病变。图谱主要介绍 MRI，也包括 CT、PET/CT 和超声，并通过病例、图像及“要点”帮助读者建立鉴别诊断；同时强调影像表现存在重叠，不能单独作为病理诊断的绝对依据。

眶周皮肤和眼睑章节讨论常见及少见的皮肤、眼睑和皮下软组织恶性肿瘤，包括基底细胞癌、鳞状细胞癌、黑色素瘤、Merkel 细胞癌、皮脂腺癌、肉瘤、硬纤维瘤和淋巴瘤。影像学可用于诊断、分期和治疗决策：薄层 CT 评估皮肤、眼睑及骨受累，高分辨率 MRI 显示软组织和神经周围肿瘤扩散，PET/CT 反映代谢活性、转移、活检靶点及疗效，超声则有助于评估淋巴结并引导穿刺活检。

文中强调识别眶上孔和眶下孔的正常影像表现，以判断神经周围肿瘤扩散。眶下孔扩大、骨质破坏及正常孔内脂肪被肿瘤替代，提示沿三叉神经分支扩散。纤维性骨发育不良表现为骨被排列不规则的纤维组织替代，常见“磨玻璃”基质，可为单骨性或多骨性，并可能出现囊性、硬化性或混合性改变；快速生长、疼痛、骨破坏、软组织肿块和病理性骨折需警惕恶性转化。

术后影像部分介绍面部皮瓣重建、眼睑金属配重及神经麻痹相关改变，并指出金属可产生 CT 条纹伪影。Graves 眼病可因眼外肌增大和眶尖拥挤压迫视神经，眶减压术通过切除眶壁降低压力。阅片时应确认手术史、受累眶壁及眶尖拥挤情况，并评估出血、脑脊液漏、鼻窦炎和黏液囊肿等并发症。",completed,2026-08-04 08:34:48.724914+00
06-眼底病与视网膜内科,00ac6ffa-3742-47ce-aebf-53922977005d,Springer-Trauma and Miscellaneous Disorders in Retina-Eduardo Buchele Rodrigues 2020_weknora.mhtml,Springer-Trauma and Miscellaneous Disorders in Retina-Eduardo Buchele Rodrigues 2020_weknora.mhtml,"本文档探讨了眼部创伤的诊断、管理以及视神经黑色素细胞瘤（MON）的相关临床特征。

**核心内容要点：**

1.  **眼部创伤的分类与诊断：** 眼部创伤分为开放性与闭合性损伤，是导致视力受损和住院的主要原因。诊断过程依赖于详细的病史采集（包括排除儿童虐待等特殊情况）及全面的眼科检查。对于怀疑有眼球破裂或存在眼内异物（IOFB）的病例，计算机断层扫描（CT）、磁共振成像（MRI）及眼部超声是关键的辅助诊断手段。
2.  **创伤的临床表现与管理：** 创伤可能导致脉络膜损伤、视网膜出血、玻璃体牵拉及视神经损伤等多种后段病变。开放性损伤需尽早手术治疗，重点在于预防眼内炎及处理异物。闭合性损伤的管理则取决于后段病变的严重程度，从观察到手术干预不等。
3.  **眼内异物（IOFB）的取出策略：** 异物取出手术需根据异物的大小、材质及位置采取不同方案。前房异物通常在初次修复时取出；晶状体内异物可能导致白内障或炎症，需视情况行晶状体摘除及人工晶状体植入；后段异物多通过玻璃体切除术（PPV）取出，并根据异物特性选择磁铁或不同类型的镊子。
4.  **视神经黑色素细胞瘤（MON）的评估：** MON是一种常见的视神经色素性病变。临床诊断依赖于荧光素血管造影（显示低荧光）、OCT（显示圆顶状结构及后部阴影）及超声检查。由于其通常为良性，临床上多采取年度观察，仅在病变显著增大或出现严重视力损害时，才考虑进行细针活检或眼球摘除。

总结而言，眼部创伤的治疗强调早期识别与精准影像诊断，而对于视神经黑色素细胞瘤等色素性病变，则应通过多模态影像技术进行长期监测，以平衡临床观察与必要的手术干预。",completed,2026-08-05 13:32:29.489362+00
05-青光眼,3952552e-c834-44c9-bd38-65f8df1c6e2b,Springer-Glaucoma Imaging-Antonio Ferreras 2016_weknora.mhtml,Springer-Glaucoma Imaging-Antonio Ferreras 2016_weknora.mhtml,"本书《青光眼影像学》（Glaucoma Imaging）由Antonio Ferreras编辑，系统介绍了青光眼诊断与监测中的关键影像学及功能评估技术。

核心内容包括：

1.  **标准自动视野检查（SAP）**：作为诊断青光眼最广泛接受的方法，SAP通过测量视野内的光敏感度来评估视觉功能。临床上常使用中心30°视野检查，并通过平均缺损（MD）、模式标准差（PSD）和视野指数（VFI）等全局指标进行量化分析。研究指出，MD与PSD在青光眼病程中的关系并非线性，且随着病情进展，两者的变化趋势具有特定规律。此外，检查结果的可靠性对于临床判断至关重要。

2.  **视网膜神经纤维层（RNFL）评估**：通过眼底摄影，尤其是单色（蓝光）摄影，可以观察到RNFL的分布。在健康个体中，RNFL呈现明亮的弧形条纹。青光眼患者的RNFL损伤主要表现为局部楔形缺损（与青光眼相关）或弥漫性变薄。临床需注意区分病理性楔形缺损与非病理性的细缝状缺损，并考虑年龄增长导致的生理性神经节细胞丢失。

3.  **光学相干断层扫描（OCT）的进展**：现代OCT技术（如Heidelberg Spectralis OCT）在青光眼监测中发挥了重要作用。通过对视盘（ONH）和RNFL进行纵向扫描，临床医生可以利用引导进展分析（GPA）软件，将患者的组织厚度变化与正常衰老曲线进行对比。这种分析能够通过斜率变化及统计学概率值，帮助医生判断视神经纤维的丢失是否超出了正常衰老范围，从而更准确地识别病理性进展。

该书强调了功能性检查（视野）与结构性检查（眼底摄影及OCT）相结合的重要性，为青光眼的早期诊断、病情评估及长期随访提供了科学的影像学依据。",completed,2026-08-05 16:03:04.010391+00
10-小儿眼科：斜视与弱视等,81213e5e-1a73-4139-9a31-d3a60536e214,Wills-小儿眼科-Leonard B Nelson 2016_weknora.mhtml,Wills-小儿眼科-Leonard B Nelson 2016_weknora.mhtml,"《Wills临床眼科彩色图谱及精要：小儿眼科（第2版）》是由Leonard B. Nelson主编、多位专家翻译的眼科专业参考书。该书旨在为临床执业眼科医师、小儿眼科医师及住院医师提供系统的小儿眼科疾病诊疗指南。全书通过精炼的文字总结与150余幅高质量彩色图片相结合，涵盖了流行病学、病因学、临床表现、鉴别诊断、检查方法及治疗预后等核心内容。

本书的主要内容要点如下：

1.  **眼部发育畸形**：详细阐述了无眼畸形、小眼畸形、小眼球及典型眼组织缺损等先天性异常。书中重点介绍了这些疾病的胚胎发育病因、影像学诊断（如MRI、CT、B超）以及通过内置假体、组织扩张器或手术矫正眼眶发育与外观的治疗方案。
2.  **先天性角膜混浊**：分析了包括角膜巩膜化、产伤（后弹力层破裂）等导致角膜混浊的多种病因。书中强调了通过鉴别诊断区分不同病理机制，并指出弱视治疗及穿透角膜移植术在改善视力预后中的作用。
3.  **视网膜营养不良与遗传性疾病**：涵盖了Best病、无脉络膜症、回旋状脉络膜视网膜萎缩及Leber先天性黑朦等疾病。书中结合电生理检查（如ERG、EOG）与基因筛查，探讨了针对不同病因的临床管理，包括低视力辅助、饮食控制及前沿的基因转导治疗进展。
4.  **眼外肌与眼球运动障碍**：系统介绍了Duane眼球后退综合征、Brown综合征、Möbius综合征、单眼上转缺陷及先天性眼外肌纤维化。书中强调了被动牵拉试验在诊断中的重要性，并针对不同类型的肌肉限制或神经支配障碍，提出了相应的手术矫正策略以改善眼位和代偿头位。

本书作为Wills眼科研究所丛书之一，不仅提供了详尽的临床概述，还强调了早期诊断、多学科评估及个性化治疗方案对改善患儿视功能与外观的重要性。",completed,2026-08-05 16:38:44.318363+00
02-角膜与眼表,c5bda7f7-1483-488e-9321-245165c9bbf5,AAO-External Disease and Cornea-Robert W Weisenthal 2021_weknora.mhtml,AAO-External Disease and Cornea-Robert W Weisenthal 2021_weknora.mhtml,"该文档是《基础与临床科学课程》第8部分“外眼疾病与角膜”的教学材料，旨在系统介绍外眼、眼表及角膜的基础结构、疾病表现和临床处理。课程强调将基础科学与临床实践结合，并通过正文、插图、参考文献、视频及自我评估题帮助眼科住院医师和临床医生掌握相关知识。

内容目标包括掌握外眼和角膜的解剖结构，了解角膜地形图、张力强度及内皮功能等检查方法，识别眼表疾病和系统性疾病相关的角膜表现，鉴别及处理角膜营养不良，并评估免疫相关和肿瘤性外眼疾病。课程还涉及角膜疾病、外伤、屈光问题、翼状胬肉、角膜融解以及全层和板层角膜移植等手术治疗。

在结构与功能方面，文档指出外眼包括眼睑、巩膜、结膜、角膜和角膜缘，并具有解剖及免疫防御机制。正常眼总屈光力为58.60屈光度，其中角膜贡献约74%。眼睑负责保护眼球、分布泪液、清洁眼表、调节入光量并参与泪膜形成；眨眼通过泪液泵将泪液铺展于角膜表面。泪液功能单位由泪腺、眼表、眼睑以及相关感觉和运动神经组成，共同调节泪膜的产生和健康。

文档还概述了多种病毒性眼病。腮腺炎可伴发泪腺炎及角膜、虹膜、睫状体和巩膜炎症；先天性风疹可导致小眼球、角膜混浊、白内障、虹膜发育不良和青光眼。急性出血性结膜炎具有高度传染性，以突发滤泡性结膜炎和结膜点状出血为特征。HIV感染可造成进行性免疫缺陷，并与带状疱疹、干眼、微孢子虫性角结膜炎及多种机会性感染相关。

后文强调眼化学伤必须立即大量冲洗，直至结膜囊pH恢复正常，并清除穹隆部残留颗粒。某些植物，如滴水观音属植物，可因草酸钙晶体引起角结膜炎。角膜移植还需关注供体年龄、感染性角膜炎及感染性晶状体样角膜病变；长期使用糖皮质激素、角膜感觉减退、泪膜异常和缝线暴露均会增加移植后感染及移植物失败风险。",completed,2026-08-05 07:13:49.843909+00
10-小儿眼科：斜视与弱视等,01832708-92ad-4af3-9d24-383872b6533c,Handbook of Pediatric Strabismus and Amblyopia-Kenneth W. Wright、Peter H. Spiegel、Lisa S. Thompson 2006_weknora.mhtml,Handbook of Pediatric Strabismus and Amblyopia-Kenneth W. Wright、Peter H. Spiegel、Lisa S. Thompson 2006_weknora.mhtml,"该文档介绍《儿童斜视与弱视手册》的编写宗旨、儿童眼科检查方法，以及部分斜视评估与棱镜测量内容。手册旨在以实用、易懂的方式讲解常见及复杂斜视的诊断和管理，强调理解斜视发生基础、感觉适应和感觉检查，而非机械记忆斜视类型；同时详细讨论视觉发育和弱视病理生理。全书采用清晰的分节、图表、示意图和临床斜视照片，便于临床实践、患者及家庭教育和考试复习，并通过参考文献支持循证诊疗。

儿童眼科检查部分强调，病史通常需要从父母、转诊医生及儿童共同获得。问诊应明确问题是先天性还是后天性、发病年龄、视觉功能、斜视频率和稳定性、异常头位及诱发因素，同时关注围产期情况、出生体重和孕周、既往疾病、药物过敏、发育里程碑、学习表现及家族中的斜视、视力不良和神经系统疾病。检查前应主动与儿童建立信任，通过友善环境、玩具和适宜的检查方式减少恐惧与不合作，并在互动过程中观察头位、眼位和整体外观。

文档还讨论间歇性外斜视中“真性散开过强”的机制及测量。其原因包括高AC/A比、近端集合增强和混合性集合机制；手术目标角度应依据远近斜视度及加镜、遮盖试验后的结果确定，部分患者术后可能出现近距离内斜视，需要双焦眼镜或再次手术。由于融合能力会使测量结果随疲劳和警觉程度变化，持续单眼遮盖可减弱融合、揭示潜在偏斜并提高测量重复性。

棱镜测量部分指出，负镜会增大测得的偏斜角，正镜会减小测得角度；斜向棱镜应按水平和垂直分量进行向量合成，并明确标注棱镜底的方向。在非共同性偏斜检查中，应分别将棱镜置于双眼前进行中和，并准确记录有效棱镜及眼镜镜片实际视线位置产生的棱镜效应。",completed,2026-08-04 19:47:04.591034+00
01-眼科综合：基础与全身病,a382d28a-9755-42de-af3d-23d1bfb4d0a5,Albert and Jakobiec s Principles and Practice of Ophthalmology-Albert and Jakobiec 2022 weknora.mhtml,Albert and Jakobiec s Principles and Practice of Ophthalmology-Albert and Jakobiec 2022 weknora.mhtml,"",failed,2026-08-04 20:15:00.007528+00
10-小儿眼科：斜视与弱视等,7583f3cd-ee80-4845-a7e1-7f7e8dfff3f5,Color Atlas of Strabismus Surgery Strategies and Techniques-Kenneth W. Wright 2007_weknora.mhtml,Color Atlas of Strabismus Surgery Strategies and Techniques-Kenneth W. Wright 2007_weknora.mhtml,"该文档介绍《斜视手术彩色图谱：策略与技术》第三版的编写目的、内容特点及部分斜视手术相关知识。全书旨在以简洁、实用的方式指导不同经验层次的眼科医生处理斜视，涵盖从常见水平斜视到复杂旋转垂直偏斜的治疗，并详细介绍肌肉后徙、缩短、滑脱或丢失肌肉取回、上斜肌腱扩张等技术。作者强调，斜视手术虽可在规范操作下相对容易，但未经充分训练的手术可能对患者造成伤害。

第三版对多数章节进行了大幅更新，新增“成功规划”内容、伴随眼球震颤或斜视的非共同性斜视及异常头位章节、临床病例示例和局部麻醉斜视手术章节，并更新了缝线选择及钛制手术器械。图谱延续线条图与真实彩色手术照片相结合的教学形式，并增加包含十余段手术视频的DVD。前两版则分别强调实用的管理策略、再手术技术，以及通过图示和照片同时呈现手术简洁性与真实手术视野。

文档还涉及弱视治疗。弱视源于视觉发育早期异常视觉刺激，可由视网膜成像模糊或斜视导致的单眼固视偏好和皮质抑制引起；双眼交替固视的儿童通常不易形成弱视。对于伴弱视的斜视儿童，应优先治疗弱视，再进行斜视手术。

手术技术部分介绍了直肌“三点固定”缝合方法，即中央安全结加两侧全层锁定缝合，以增强肌肉固定；常规直肌手术倾向使用5-0 Vicryl，而易发生牵拉瘢痕的病例可使用不可吸收的5-0 Mersilene。Wright带槽钩可在肌肉与巩膜之间形成安全操作空间，帮助稳定、准确地完成全层缝合。附录还列出常用器械、缝线和放大照明要求，并概述术后护理，包括短时间禁食、特定情况下避免眼罩、使用抗生素激素眼膏、暂不游泳及按计划复诊。",completed,2026-08-04 19:26:30.26126+00
01-眼科综合：基础与全身病,01946a65-9bc2-4365-8be7-e576ce4f8f0a,AAO-Fundamentals and Principles of Ophthalmology-Vikram S Brar 2021_weknora.mhtml,AAO-Fundamentals and Principles of Ophthalmology-Vikram S Brar 2021_weknora.mhtml,"该文档是《基础与临床科学课程》第2节《眼科学基础与原理》的导论及部分节选，旨在为眼科住院医师和临床医生提供涵盖基础科学与临床实践的综合性自学教材。课程每年更新，由多个眼科专业 faculty 和编辑团队共同编写、审阅，内容分为13个部分，并配有参考文献、视频、互动活动、自测题及继续医学教育（CME）和认证维护（MOC）相关要求。

本节的学习目标覆盖眼眶、眼球运动和神经血管解剖等基础知识，包括识别眼眶骨壁与孔道、颅神经及其走行、眼外肌起止点，以及眼眶和视神经的动静脉循环、颈内外动脉吻合和静脉回流等内容。文档还强调教材具有教育参考性质，不能替代医生的临床判断，药物和治疗建议应结合最新权威资料、产品说明书及患者具体情况进行核实。

节选部分进一步讨论房水的生物学组成和功能。房水中含有蛋白酶、蛋白酶抑制剂、纤溶酶系统成分、神经营养及神经内分泌蛋白和多种生长调节因子。这些成分可能参与蛋白质代谢、房水外流阻力、眼压调节、房水分泌、昼夜节律、组织修复以及眼内免疫特权；蛋白酶与抑制剂失衡可能改变房水组成并与青光眼等疾病相关。

文档末尾的自测解析涉及眼表和角膜生理：睑板腺及Zeis腺形成泪膜外层脂质层，泪腺及副泪腺形成黏液水液层；严重眼表疾病和LASIK术后泪液MMP-9可升高。角膜内皮为单层六角形细胞，细胞密度随年龄下降；低氧时乳酸积聚增加基质渗透负荷，导致角膜水肿。血房水屏障则限制血浆蛋白进入房水，主要由无色素睫状上皮紧密连接、虹膜血管及Schlemm管内壁组成。",completed,2026-08-05 12:09:01.237371+00
